Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
17,Sat,2023-01-14,14:00 (08:00),Valladolid,0.6,0–1,1.1,Rayo Vallecano,19969,Estadio Municipal José Zorrilla,Mario Melero,Match Report,
17,Sat,2023-01-14,16:15 (10:15),Girona,2.2,2–1,1.1,Sevilla,12035,Estadi Municipal de Montilivi,Valentín Pizarro,Match Report,
17,Sat,2023-01-14,18:30 (12:30),Osasuna,1.6,1–0,0.5,Mallorca,19887,Estadio El Sadar,César Soto,Match Report,
17,Sat,2023-01-14,21:00 (15:00),Real Sociedad,2.0,3–1,0.3,Athletic Club,38296,Reale Arena,Guillermo Cuadra,Match Report,
17,Sun,2023-01-15,14:00 (08:00),Getafe,0.5,1–2,0.8,Espanyol,10286,Coliseum Alfonso Pérez,Jorge Figueroa,Match Report,
17,Sun,2023-01-15,16:15 (10:15),Almería,1.4,1–1,2.4,Atlético Madrid,14128,Power Horse Stadium,José Sánchez,Match Report,
17,Mon,2023-01-16,21:00 (15:00),Cádiz,1.6,1–1,0.6,Elche,17389,Estadio Nuevo Mirandilla,Carlos del Cerro,Match Report,
,,,,,,,,,,,,,
18,Fri,2023-01-20,21:00 (15:00),Mallorca,0.5,1–0,0.5,Celta Vigo,12253,Iberostar Estadi,Juan Pulido,Match Report,
18,Sat,2023-01-21,14:00 (08:00),Rayo Vallecano,0.9,0–2,1.6,Real Sociedad,12874,Estadio del Rayo Vallecano,Antonio Matéu,Match Report,
18,Sat,2023-01-21,16:15 (10:15),Espanyol,2.3,1–0,0.9,Betis,20811,RCDE Stadium,Pablo González,Match Report,
18,Sat,2023-01-21,18:30 (12:30),Atlético Madrid,3.3,3–0,0.5,Valladolid,53253,Estadio Cívitas Metropolitano,Ricardo de Burgos,Match Report,
18,Sat,2023-01-21,21:00 (15:00),Sevilla,1.7,1–0,0.1,Cádiz,37400,Estadio Ramón Sánchez Pizjuán,Alejandro Hernández,Match Report,
18,Sun,2023-01-22,14:00 (08:00),Villarreal,2.5,1–0,0.6,Girona,15129,Estadio de la Cerámica,Carlos del Cerro,Match Report,
18,Sun,2023-01-22,16:15 (10:15),Elche,1.2,1–1,0.5,Osasuna,17589,Estadio Manuel Martínez Valero,Alejandro Muñíz,Match Report,
